Epoch 0/1000, Train Loss: 2.5093436241149902, Val Loss: 0.666465163230896, Train Acc: 0.35, Val Acc: 0.6000000238418579, LR: 0.0008078087213390082
Epoch 10/1000, Train Loss: 3.0621721744537354, Val Loss: 0.6346319913864136, Train Acc: 0.4, Val Acc: 1.0, LR: 0.0007917823764937022
Epoch 20/1000, Train Loss: 1.914921522140503, Val Loss: 0.6208921670913696, Train Acc: 0.575, Val Acc: 1.0, LR: 0.0007757560316483964
Epoch 30/1000, Train Loss: 1.7095019817352295, Val Loss: 0.5915820002555847, Train Acc: 0.525, Val Acc: 0.8999999761581421, LR: 0.0007597296868030903
Epoch 40/1000, Train Loss: 2.4143011569976807, Val Loss: 0.6130988001823425, Train Acc: 0.45, Val Acc: 0.8999999761581421, LR: 0.0007437033419577846
Epoch 50/1000, Train Loss: 1.2554760575294495, Val Loss: 0.6023650169372559, Train Acc: 0.5, Val Acc: 0.8999999761581421, LR: 0.0007276769971124786
Epoch 60/1000, Train Loss: 1.6201516389846802, Val Loss: 0.6104408502578735, Train Acc: 0.55, Val Acc: 0.8999999761581421, LR: 0.0007116506522671724
Epoch 70/1000, Train Loss: 1.5690410137176514, Val Loss: 0.6011816263198853, Train Acc: 0.625, Val Acc: 0.8999999761581421, LR: 0.0006956243074218663
Epoch 80/1000, Train Loss: 1.6281741261482239, Val Loss: 0.6135188341140747, Train Acc: 0.5, Val Acc: 0.8999999761581421, LR: 0.0006795979625765601
Epoch 90/1000, Train Loss: 1.4475128650665283, Val Loss: 0.6028656363487244, Train Acc: 0.525, Val Acc: 0.8999999761581421, LR: 0.0006635716177312542
Epoch 100/1000, Train Loss: 1.2107345461845398, Val Loss: 0.5938760042190552, Train Acc: 0.675, Val Acc: 0.8999999761581421, LR: 0.0006475452728859481
Epoch 110/1000, Train Loss: 1.3532252311706543, Val Loss: 0.5693556070327759, Train Acc: 0.7, Val Acc: 0.8999999761581421, LR: 0.0006315189280406423
Epoch 120/1000, Train Loss: 1.3763743042945862, Val Loss: 0.5285625457763672, Train Acc: 0.575, Val Acc: 0.8999999761581421, LR: 0.0006154925831953364
Epoch 130/1000, Train Loss: 1.4823904633522034, Val Loss: 0.4973498284816742, Train Acc: 0.525, Val Acc: 0.8999999761581421, LR: 0.0005994662383500306
Epoch 140/1000, Train Loss: 1.4643203616142273, Val Loss: 0.4700825810432434, Train Acc: 0.55, Val Acc: 0.8999999761581421, LR: 0.0005834398935047245
Epoch 150/1000, Train Loss: 1.3129915595054626, Val Loss: 0.41916966438293457, Train Acc: 0.675, Val Acc: 0.8999999761581421, LR: 0.0005674135486594189
Epoch 160/1000, Train Loss: 1.1562005877494812, Val Loss: 0.37229010462760925, Train Acc: 0.65, Val Acc: 0.8999999761581421, LR: 0.0005513872038141128
Epoch 170/1000, Train Loss: 1.155398577451706, Val Loss: 0.4067210257053375, Train Acc: 0.7, Val Acc: 0.8999999761581421, LR: 0.0005353608589688068
Epoch 180/1000, Train Loss: 0.9599644541740417, Val Loss: 0.3811717927455902, Train Acc: 0.725, Val Acc: 0.8999999761581421, LR: 0.0005193345141235004
Epoch 190/1000, Train Loss: 1.3038198351860046, Val Loss: 0.3618290424346924, Train Acc: 0.7, Val Acc: 0.8999999761581421, LR: 0.0005033081692781944
Epoch 200/1000, Train Loss: 1.550044596195221, Val Loss: 0.35485562682151794, Train Acc: 0.725, Val Acc: 0.8999999761581421, LR: 0.00048728182443288806
Epoch 210/1000, Train Loss: 1.0750402510166168, Val Loss: 0.343376100063324, Train Acc: 0.625, Val Acc: 0.8999999761581421, LR: 0.0004712554795875819
Epoch 220/1000, Train Loss: 1.170613706111908, Val Loss: 0.3393324911594391, Train Acc: 0.75, Val Acc: 0.8999999761581421, LR: 0.0004552291347422757
Epoch 230/1000, Train Loss: 1.3426310420036316, Val Loss: 0.33638209104537964, Train Acc: 0.625, Val Acc: 0.8999999761581421, LR: 0.0004392027898969695
Epoch 240/1000, Train Loss: 0.9489883184432983, Val Loss: 0.36622530221939087, Train Acc: 0.725, Val Acc: 0.8999999761581421, LR: 0.00042317644505166337
Epoch 250/1000, Train Loss: 1.0509737730026245, Val Loss: 0.3378036916255951, Train Acc: 0.7, Val Acc: 0.8999999761581421, LR: 0.0004071501002063572
Epoch 260/1000, Train Loss: 0.9592409431934357, Val Loss: 0.35779887437820435, Train Acc: 0.725, Val Acc: 0.8999999761581421, LR: 0.00039112375536105105
Epoch 270/1000, Train Loss: 0.843984991312027, Val Loss: 0.3731546998023987, Train Acc: 0.725, Val Acc: 0.8999999761581421, LR: 0.0003750974105157448
Epoch 280/1000, Train Loss: 1.1781916618347168, Val Loss: 0.34959426522254944, Train Acc: 0.725, Val Acc: 0.8999999761581421, LR: 0.00035907106567043874
Epoch 290/1000, Train Loss: 1.0312927961349487, Val Loss: 0.3474997878074646, Train Acc: 0.8, Val Acc: 0.8999999761581421, LR: 0.0003430447208251324
Epoch 300/1000, Train Loss: 1.1385966539382935, Val Loss: 0.3385513126850128, Train Acc: 0.65, Val Acc: 0.8999999761581421, LR: 0.00032701837597982615
Epoch 310/1000, Train Loss: 0.9482375383377075, Val Loss: 0.35344198346138, Train Acc: 0.7, Val Acc: 0.8999999761581421, LR: 0.00031099203113451994
Epoch 320/1000, Train Loss: 1.3199053406715393, Val Loss: 0.3363872170448303, Train Acc: 0.65, Val Acc: 0.8999999761581421, LR: 0.0002949656862892137
Epoch 330/1000, Train Loss: 1.0220816731452942, Val Loss: 0.36234691739082336, Train Acc: 0.65, Val Acc: 0.8999999761581421, LR: 0.00027893934144390746
