Epoch 0/1000, Train Loss: 2.2638933658599854, Val Loss: 0.692419171333313, Train Acc: 0.475, Val Acc: 0.5, LR: 0.0008024968896296922
Epoch 10/1000, Train Loss: 2.256675601005554, Val Loss: 0.6251803636550903, Train Acc: 0.475, Val Acc: 0.8999999761581421, LR: 0.0007865759277104242
Epoch 20/1000, Train Loss: 1.8278533816337585, Val Loss: 0.6135541200637817, Train Acc: 0.55, Val Acc: 0.8999999761581421, LR: 0.0007706549657911564
Epoch 30/1000, Train Loss: 1.2800931930541992, Val Loss: 0.5927002429962158, Train Acc: 0.55, Val Acc: 0.8999999761581421, LR: 0.0007547340038718884
Epoch 40/1000, Train Loss: 1.5732960104942322, Val Loss: 0.5772047638893127, Train Acc: 0.625, Val Acc: 0.8999999761581421, LR: 0.0007388130419526207
Epoch 50/1000, Train Loss: 1.6484637260437012, Val Loss: 0.5717592239379883, Train Acc: 0.525, Val Acc: 0.8999999761581421, LR: 0.0007228920800333526
Epoch 60/1000, Train Loss: 1.5634124875068665, Val Loss: 0.532562255859375, Train Acc: 0.525, Val Acc: 0.8999999761581421, LR: 0.0007069711181140845
Epoch 70/1000, Train Loss: 1.523939311504364, Val Loss: 0.5077332258224487, Train Acc: 0.575, Val Acc: 0.8999999761581421, LR: 0.0006910501561948163
Epoch 80/1000, Train Loss: 1.5226407051086426, Val Loss: 0.522834300994873, Train Acc: 0.4, Val Acc: 0.8999999761581421, LR: 0.0006751291942755481
Epoch 90/1000, Train Loss: 1.3813913464546204, Val Loss: 0.46673011779785156, Train Acc: 0.45, Val Acc: 0.8999999761581421, LR: 0.0006592082323562804
Epoch 100/1000, Train Loss: 1.4685755968093872, Val Loss: 0.4370214343070984, Train Acc: 0.675, Val Acc: 0.8999999761581421, LR: 0.0006432872704370122
Epoch 110/1000, Train Loss: 1.190752923488617, Val Loss: 0.39278411865234375, Train Acc: 0.65, Val Acc: 0.8999999761581421, LR: 0.0006273663085177443
Epoch 120/1000, Train Loss: 1.4743829369544983, Val Loss: 0.38028520345687866, Train Acc: 0.675, Val Acc: 0.8999999761581421, LR: 0.0006114453465984763
Epoch 130/1000, Train Loss: 1.5452317595481873, Val Loss: 0.33556121587753296, Train Acc: 0.5, Val Acc: 0.8999999761581421, LR: 0.0005955243846792086
Epoch 140/1000, Train Loss: 0.9083150625228882, Val Loss: 0.34073546528816223, Train Acc: 0.825, Val Acc: 0.8999999761581421, LR: 0.0005796034227599406
Epoch 150/1000, Train Loss: 1.1795770525932312, Val Loss: 0.3288525938987732, Train Acc: 0.75, Val Acc: 0.8999999761581421, LR: 0.000563682460840673
Epoch 160/1000, Train Loss: 0.834568589925766, Val Loss: 0.329068660736084, Train Acc: 0.7, Val Acc: 0.8999999761581421, LR: 0.000547761498921405
Epoch 170/1000, Train Loss: 0.8926278054714203, Val Loss: 0.3323398530483246, Train Acc: 0.8, Val Acc: 0.8999999761581421, LR: 0.0005318405370021371
Epoch 180/1000, Train Loss: 0.9739599227905273, Val Loss: 0.33172470331192017, Train Acc: 0.725, Val Acc: 0.8999999761581421, LR: 0.0005159195750828688
Epoch 190/1000, Train Loss: 1.2919211387634277, Val Loss: 0.3276969790458679, Train Acc: 0.7, Val Acc: 0.8999999761581421, LR: 0.000499998613163601
Epoch 200/1000, Train Loss: 0.9896194040775299, Val Loss: 0.3261370062828064, Train Acc: 0.7, Val Acc: 0.8999999761581421, LR: 0.000484077651244333
Epoch 210/1000, Train Loss: 1.0409497618675232, Val Loss: 0.31679630279541016, Train Acc: 0.7, Val Acc: 0.8999999761581421, LR: 0.0004681566893250649
Epoch 220/1000, Train Loss: 0.7532967329025269, Val Loss: 0.31705033779144287, Train Acc: 0.9, Val Acc: 0.8999999761581421, LR: 0.0004522357274057967
Epoch 230/1000, Train Loss: 1.0819798111915588, Val Loss: 0.3081425726413727, Train Acc: 0.625, Val Acc: 0.8999999761581421, LR: 0.00043631476548652853
Epoch 240/1000, Train Loss: 1.1182202696800232, Val Loss: 0.32056742906570435, Train Acc: 0.625, Val Acc: 0.8999999761581421, LR: 0.0004203938035672605
Epoch 250/1000, Train Loss: 0.7508192956447601, Val Loss: 0.3105878233909607, Train Acc: 0.8, Val Acc: 0.8999999761581421, LR: 0.00040447284164799236
Epoch 260/1000, Train Loss: 1.0537716150283813, Val Loss: 0.3173465132713318, Train Acc: 0.675, Val Acc: 0.8999999761581421, LR: 0.00038855187972872417
Epoch 270/1000, Train Loss: 0.9086348563432693, Val Loss: 0.3078109323978424, Train Acc: 0.875, Val Acc: 0.8999999761581421, LR: 0.0003726309178094559
Epoch 280/1000, Train Loss: 1.0132474303245544, Val Loss: 0.34969624876976013, Train Acc: 0.75, Val Acc: 0.8999999761581421, LR: 0.00035670995589018794
Epoch 290/1000, Train Loss: 1.1085333824157715, Val Loss: 0.30429962277412415, Train Acc: 0.7, Val Acc: 0.8999999761581421, LR: 0.00034078899397091964
Epoch 300/1000, Train Loss: 0.9437344074249268, Val Loss: 0.32236358523368835, Train Acc: 0.675, Val Acc: 0.8999999761581421, LR: 0.00032486803205165134
Epoch 310/1000, Train Loss: 1.0832489728927612, Val Loss: 0.3300897479057312, Train Acc: 0.725, Val Acc: 0.8999999761581421, LR: 0.0003089470701323832
Epoch 320/1000, Train Loss: 0.840644896030426, Val Loss: 0.2863521873950958, Train Acc: 0.775, Val Acc: 0.8999999761581421, LR: 0.000293026108213115
Epoch 330/1000, Train Loss: 1.082232415676117, Val Loss: 0.33952099084854126, Train Acc: 0.7, Val Acc: 0.8999999761581421, LR: 0.0002771051462938467
Epoch 340/1000, Train Loss: 0.8369389474391937, Val Loss: 0.33438602089881897, Train Acc: 0.75, Val Acc: 0.8999999761581421, LR: 0.00026118418437457846
Epoch 350/1000, Train Loss: 0.9662269949913025, Val Loss: 0.33205467462539673, Train Acc: 0.75, Val Acc: 0.8999999761581421, LR: 0.00024526322245531015
Epoch 360/1000, Train Loss: 0.7623348534107208, Val Loss: 0.32097530364990234, Train Acc: 0.8, Val Acc: 0.8999999761581421, LR: 0.00022934226053604207
