Epoch 0/1000, Train Loss: 2.7211194038391113, Val Loss: 0.7932378053665161, Train Acc: 0.4, Val Acc: 0.20000000298023224, LR: 0.0007570898144357596
Epoch 10/1000, Train Loss: 2.37239933013916, Val Loss: 0.6348208785057068, Train Acc: 0.5, Val Acc: 0.800000011920929, LR: 0.0007420696962759751
Epoch 20/1000, Train Loss: 2.1248337030410767, Val Loss: 0.6279407739639282, Train Acc: 0.525, Val Acc: 0.800000011920929, LR: 0.0007270495781161909
Epoch 30/1000, Train Loss: 1.7856935858726501, Val Loss: 0.6255999207496643, Train Acc: 0.475, Val Acc: 0.800000011920929, LR: 0.0007120294599564063
Epoch 40/1000, Train Loss: 2.243375062942505, Val Loss: 0.611170768737793, Train Acc: 0.45, Val Acc: 0.800000011920929, LR: 0.0006970093417966222
Epoch 50/1000, Train Loss: 1.7056708931922913, Val Loss: 0.614467978477478, Train Acc: 0.425, Val Acc: 0.800000011920929, LR: 0.0006819892236368377
Epoch 60/1000, Train Loss: 1.8819199800491333, Val Loss: 0.6270203590393066, Train Acc: 0.425, Val Acc: 0.800000011920929, LR: 0.0006669691054770532
Epoch 70/1000, Train Loss: 1.6022159457206726, Val Loss: 0.6211751699447632, Train Acc: 0.45, Val Acc: 0.800000011920929, LR: 0.0006519489873172687
Epoch 80/1000, Train Loss: 1.2684887051582336, Val Loss: 0.5893396735191345, Train Acc: 0.625, Val Acc: 0.800000011920929, LR: 0.000636928869157484
Epoch 90/1000, Train Loss: 1.7113232016563416, Val Loss: 0.553707480430603, Train Acc: 0.475, Val Acc: 0.800000011920929, LR: 0.0006219087509976996
Epoch 100/1000, Train Loss: 1.117306411266327, Val Loss: 0.4958879053592682, Train Acc: 0.6, Val Acc: 0.800000011920929, LR: 0.000606888632837915
Epoch 110/1000, Train Loss: 1.4056124687194824, Val Loss: 0.4605746865272522, Train Acc: 0.725, Val Acc: 0.800000011920929, LR: 0.0005918685146781308
Epoch 120/1000, Train Loss: 1.1741480827331543, Val Loss: 0.47477442026138306, Train Acc: 0.65, Val Acc: 0.800000011920929, LR: 0.0005768483965183465
Epoch 130/1000, Train Loss: 1.421634316444397, Val Loss: 0.4190399646759033, Train Acc: 0.6, Val Acc: 0.800000011920929, LR: 0.0005618282783585622
Epoch 140/1000, Train Loss: 1.1955592632293701, Val Loss: 0.4248386025428772, Train Acc: 0.7, Val Acc: 0.800000011920929, LR: 0.0005468081601987778
Epoch 150/1000, Train Loss: 0.7711466550827026, Val Loss: 0.4112156331539154, Train Acc: 0.775, Val Acc: 0.800000011920929, LR: 0.0005317880420389935
Epoch 160/1000, Train Loss: 1.13997682929039, Val Loss: 0.39704418182373047, Train Acc: 0.675, Val Acc: 0.800000011920929, LR: 0.0005167679238792089
Epoch 170/1000, Train Loss: 0.7641089260578156, Val Loss: 0.41533955931663513, Train Acc: 0.85, Val Acc: 0.800000011920929, LR: 0.0005017478057194245
