Epoch 0/1000, Train Loss: 3.2321388721466064, Val Loss: 0.7340310215950012, Train Acc: 0.475, Val Acc: 0.30000001192092896, LR: 0.00033305411224873787
Epoch 10/1000, Train Loss: 1.7259419560432434, Val Loss: 0.6335509419441223, Train Acc: 0.675, Val Acc: 0.800000011920929, LR: 0.00032644655786854014
Epoch 20/1000, Train Loss: 2.377657413482666, Val Loss: 0.6235113143920898, Train Acc: 0.55, Val Acc: 0.800000011920929, LR: 0.0003198390034883425
Epoch 30/1000, Train Loss: 2.361814498901367, Val Loss: 0.5878902673721313, Train Acc: 0.525, Val Acc: 0.800000011920929, LR: 0.0003132314491081448
Epoch 40/1000, Train Loss: 2.8356971740722656, Val Loss: 0.5541478991508484, Train Acc: 0.45, Val Acc: 0.800000011920929, LR: 0.0003066238947279472
Epoch 50/1000, Train Loss: 2.242517828941345, Val Loss: 0.5500608682632446, Train Acc: 0.45, Val Acc: 0.800000011920929, LR: 0.0003000163403477494
Epoch 60/1000, Train Loss: 1.5151901841163635, Val Loss: 0.4877578616142273, Train Acc: 0.525, Val Acc: 0.800000011920929, LR: 0.0002934087859675516
Epoch 70/1000, Train Loss: 1.2519221007823944, Val Loss: 0.48797407746315, Train Acc: 0.525, Val Acc: 0.800000011920929, LR: 0.0002868012315873538
Epoch 80/1000, Train Loss: 1.2783661484718323, Val Loss: 0.4662953317165375, Train Acc: 0.725, Val Acc: 0.800000011920929, LR: 0.0002801936772071559
Epoch 90/1000, Train Loss: 1.743125557899475, Val Loss: 0.45652127265930176, Train Acc: 0.55, Val Acc: 0.800000011920929, LR: 0.0002735861228269582
Epoch 100/1000, Train Loss: 2.427410662174225, Val Loss: 0.4573967456817627, Train Acc: 0.475, Val Acc: 0.800000011920929, LR: 0.0002669785684467604
Epoch 110/1000, Train Loss: 1.81794673204422, Val Loss: 0.44771870970726013, Train Acc: 0.5, Val Acc: 0.800000011920929, LR: 0.0002603710140665627
Epoch 120/1000, Train Loss: 1.4611554145812988, Val Loss: 0.4321560859680176, Train Acc: 0.675, Val Acc: 0.800000011920929, LR: 0.000253763459686365
Epoch 130/1000, Train Loss: 1.3625022172927856, Val Loss: 0.42599159479141235, Train Acc: 0.675, Val Acc: 0.800000011920929, LR: 0.00024715590530616737
Epoch 140/1000, Train Loss: 1.1398471891880035, Val Loss: 0.41894012689590454, Train Acc: 0.65, Val Acc: 0.800000011920929, LR: 0.00024054835092596964
Epoch 150/1000, Train Loss: 1.9295193552970886, Val Loss: 0.40541619062423706, Train Acc: 0.475, Val Acc: 0.800000011920929, LR: 0.00023394079654577175
Epoch 160/1000, Train Loss: 1.4476638436317444, Val Loss: 0.39438819885253906, Train Acc: 0.6, Val Acc: 0.800000011920929, LR: 0.00022733324216557392
Epoch 170/1000, Train Loss: 1.4348633885383606, Val Loss: 0.41475993394851685, Train Acc: 0.625, Val Acc: 0.800000011920929, LR: 0.00022072568778537605
Epoch 180/1000, Train Loss: 1.1665706634521484, Val Loss: 0.4062125086784363, Train Acc: 0.7, Val Acc: 0.800000011920929, LR: 0.00021411813340517822
Epoch 190/1000, Train Loss: 0.6892293989658356, Val Loss: 0.3910529613494873, Train Acc: 0.75, Val Acc: 0.800000011920929, LR: 0.00020751057902498033
Epoch 200/1000, Train Loss: 1.200263798236847, Val Loss: 0.3895183205604553, Train Acc: 0.75, Val Acc: 0.800000011920929, LR: 0.00020090302464478247
Epoch 210/1000, Train Loss: 1.1972494721412659, Val Loss: 0.39866068959236145, Train Acc: 0.775, Val Acc: 0.800000011920929, LR: 0.0001942954702645846
Epoch 220/1000, Train Loss: 1.531724989414215, Val Loss: 0.3838299810886383, Train Acc: 0.575, Val Acc: 0.800000011920929, LR: 0.0001876879158843867
Epoch 230/1000, Train Loss: 0.855684369802475, Val Loss: 0.3825198709964752, Train Acc: 0.8, Val Acc: 0.800000011920929, LR: 0.0001810803615041888
Epoch 240/1000, Train Loss: 0.9737526178359985, Val Loss: 0.3895557224750519, Train Acc: 0.7, Val Acc: 0.800000011920929, LR: 0.00017447280712399097
Epoch 250/1000, Train Loss: 0.745734304189682, Val Loss: 0.3949296474456787, Train Acc: 0.775, Val Acc: 0.800000011920929, LR: 0.00016786525274379308
Epoch 260/1000, Train Loss: 1.3799287676811218, Val Loss: 0.3866405487060547, Train Acc: 0.75, Val Acc: 0.800000011920929, LR: 0.00016125769836359522
Epoch 270/1000, Train Loss: 0.9608933925628662, Val Loss: 0.3866748809814453, Train Acc: 0.75, Val Acc: 0.800000011920929, LR: 0.0001546501439833973
Epoch 280/1000, Train Loss: 1.0420171618461609, Val Loss: 0.3935384452342987, Train Acc: 0.725, Val Acc: 0.800000011920929, LR: 0.0001480425896031995
