Epoch 0/1000, Train Loss: 2.0868075489997864, Val Loss: 0.7989707589149475, Train Acc: 0.4875, Val Acc: 0.15000000596046448
Epoch 10/1000, Train Loss: 1.6888896822929382, Val Loss: 0.5874037146568298, Train Acc: 0.5125, Val Acc: 0.8500000238418579
Epoch 20/1000, Train Loss: 1.3761506974697113, Val Loss: 0.5384862422943115, Train Acc: 0.5875, Val Acc: 0.8500000238418579
Epoch 30/1000, Train Loss: 1.5253202021121979, Val Loss: 0.4839215874671936, Train Acc: 0.5875, Val Acc: 0.8500000238418579
Epoch 40/1000, Train Loss: 0.9515827894210815, Val Loss: 0.45911917090415955, Train Acc: 0.675, Val Acc: 0.8500000238418579
Epoch 50/1000, Train Loss: 1.547481894493103, Val Loss: 0.43602457642555237, Train Acc: 0.5875, Val Acc: 0.8500000238418579
Epoch 60/1000, Train Loss: 0.928384080529213, Val Loss: 0.4074222147464752, Train Acc: 0.675, Val Acc: 0.8500000238418579
Epoch 70/1000, Train Loss: 0.9648879766464233, Val Loss: 0.3913657069206238, Train Acc: 0.6875, Val Acc: 0.8500000238418579
Epoch 80/1000, Train Loss: 1.008225917816162, Val Loss: 0.3775768578052521, Train Acc: 0.6625, Val Acc: 0.8500000238418579
Epoch 90/1000, Train Loss: 0.7456402033567429, Val Loss: 0.3497048020362854, Train Acc: 0.775, Val Acc: 0.8500000238418579
Epoch 100/1000, Train Loss: 0.8435375988483429, Val Loss: 0.32576167583465576, Train Acc: 0.7875, Val Acc: 0.8500000238418579
Epoch 110/1000, Train Loss: 0.912133663892746, Val Loss: 0.34176918864250183, Train Acc: 0.725, Val Acc: 0.8500000238418579
Epoch 120/1000, Train Loss: 0.7867806702852249, Val Loss: 0.34311163425445557, Train Acc: 0.6625, Val Acc: 0.8500000238418579
Epoch 130/1000, Train Loss: 0.7320031821727753, Val Loss: 0.35446012020111084, Train Acc: 0.775, Val Acc: 0.8500000238418579
Epoch 140/1000, Train Loss: 0.731857493519783, Val Loss: 0.3409895598888397, Train Acc: 0.8125, Val Acc: 0.8500000238418579
Epoch 150/1000, Train Loss: 0.761763334274292, Val Loss: 0.354513019323349, Train Acc: 0.7, Val Acc: 0.8500000238418579
Epoch 160/1000, Train Loss: 0.6180179491639137, Val Loss: 0.33340269327163696, Train Acc: 0.8625, Val Acc: 0.800000011920929
Epoch 170/1000, Train Loss: 0.714667908847332, Val Loss: 0.33201590180397034, Train Acc: 0.7875, Val Acc: 0.800000011920929
Epoch 180/1000, Train Loss: 0.8046897053718567, Val Loss: 0.3294665217399597, Train Acc: 0.8125, Val Acc: 0.800000011920929
Epoch 190/1000, Train Loss: 0.7455735951662064, Val Loss: 0.3250778019428253, Train Acc: 0.775, Val Acc: 0.800000011920929
Epoch 200/1000, Train Loss: 0.6625014990568161, Val Loss: 0.33851972222328186, Train Acc: 0.775, Val Acc: 0.800000011920929
Epoch 210/1000, Train Loss: 0.7248706221580505, Val Loss: 0.340400755405426, Train Acc: 0.8125, Val Acc: 0.800000011920929
Epoch 220/1000, Train Loss: 0.5376955717802048, Val Loss: 0.3225725293159485, Train Acc: 0.8375, Val Acc: 0.800000011920929
Epoch 230/1000, Train Loss: 0.6071366220712662, Val Loss: 0.32860761880874634, Train Acc: 0.8375, Val Acc: 0.800000011920929
Epoch 240/1000, Train Loss: 0.8021381199359894, Val Loss: 0.32859477400779724, Train Acc: 0.8125, Val Acc: 0.800000011920929
Epoch 250/1000, Train Loss: 0.5770004242658615, Val Loss: 0.3070879876613617, Train Acc: 0.8125, Val Acc: 0.800000011920929
Epoch 260/1000, Train Loss: 0.6765925884246826, Val Loss: 0.3083198666572571, Train Acc: 0.8, Val Acc: 0.800000011920929
Epoch 270/1000, Train Loss: 0.7228843122720718, Val Loss: 0.314196914434433, Train Acc: 0.775, Val Acc: 0.800000011920929
Epoch 280/1000, Train Loss: 0.7349353432655334, Val Loss: 0.3269973397254944, Train Acc: 0.75, Val Acc: 0.800000011920929
Epoch 290/1000, Train Loss: 0.4128419905900955, Val Loss: 0.3180617690086365, Train Acc: 0.9375, Val Acc: 0.800000011920929
Epoch 300/1000, Train Loss: 0.7172207534313202, Val Loss: 0.3153538107872009, Train Acc: 0.8, Val Acc: 0.800000011920929
Epoch 310/1000, Train Loss: 0.5942490696907043, Val Loss: 0.31471744179725647, Train Acc: 0.8875, Val Acc: 0.800000011920929
Epoch 320/1000, Train Loss: 0.528739720582962, Val Loss: 0.31245338916778564, Train Acc: 0.8375, Val Acc: 0.800000011920929
Epoch 330/1000, Train Loss: 0.49549683928489685, Val Loss: 0.30908483266830444, Train Acc: 0.875, Val Acc: 0.800000011920929
Epoch 340/1000, Train Loss: 0.5364197045564651, Val Loss: 0.3092208206653595, Train Acc: 0.8, Val Acc: 0.800000011920929
Epoch 350/1000, Train Loss: 0.6652513295412064, Val Loss: 0.30878138542175293, Train Acc: 0.8, Val Acc: 0.800000011920929
Epoch 360/1000, Train Loss: 0.6625395715236664, Val Loss: 0.30834174156188965, Train Acc: 0.7625, Val Acc: 0.800000011920929
Epoch 370/1000, Train Loss: 0.6011804640293121, Val Loss: 0.30814576148986816, Train Acc: 0.8125, Val Acc: 0.800000011920929
Epoch 380/1000, Train Loss: 0.6144600510597229, Val Loss: 0.30814477801322937, Train Acc: 0.7875, Val Acc: 0.800000011920929
Epoch 390/1000, Train Loss: 0.5932259559631348, Val Loss: 0.3088110089302063, Train Acc: 0.825, Val Acc: 0.800000011920929
Epoch 400/1000, Train Loss: 0.46354301273822784, Val Loss: 0.30936700105667114, Train Acc: 0.8375, Val Acc: 0.800000011920929
Epoch 410/1000, Train Loss: 0.50749471783638, Val Loss: 0.31010526418685913, Train Acc: 0.8375, Val Acc: 0.800000011920929
Epoch 420/1000, Train Loss: 0.5522415786981583, Val Loss: 0.31037697196006775, Train Acc: 0.8125, Val Acc: 0.800000011920929
Epoch 430/1000, Train Loss: 0.4308159723877907, Val Loss: 0.3105434775352478, Train Acc: 0.85, Val Acc: 0.800000011920929
Epoch 440/1000, Train Loss: 0.4397851526737213, Val Loss: 0.3096317648887634, Train Acc: 0.8125, Val Acc: 0.800000011920929
Epoch 450/1000, Train Loss: 0.6117317900061607, Val Loss: 0.3093510866165161, Train Acc: 0.7875, Val Acc: 0.800000011920929
Epoch 460/1000, Train Loss: 0.4867161139845848, Val Loss: 0.30930668115615845, Train Acc: 0.8875, Val Acc: 0.800000011920929
Epoch 470/1000, Train Loss: 0.5171219259500504, Val Loss: 0.30953967571258545, Train Acc: 0.8625, Val Acc: 0.800000011920929
Epoch 480/1000, Train Loss: 0.5161942392587662, Val Loss: 0.30981606245040894, Train Acc: 0.85, Val Acc: 0.800000011920929
Epoch 490/1000, Train Loss: 0.5719372481107712, Val Loss: 0.30973440408706665, Train Acc: 0.825, Val Acc: 0.800000011920929
Epoch 500/1000, Train Loss: 0.6688759550452232, Val Loss: 0.3091624081134796, Train Acc: 0.85, Val Acc: 0.800000011920929
Epoch 510/1000, Train Loss: 0.6934938132762909, Val Loss: 0.30832478404045105, Train Acc: 0.8125, Val Acc: 0.800000011920929
Epoch 520/1000, Train Loss: 0.5168495625257492, Val Loss: 0.30812641978263855, Train Acc: 0.825, Val Acc: 0.800000011920929
Epoch 530/1000, Train Loss: 0.6505094468593597, Val Loss: 0.3080345392227173, Train Acc: 0.7625, Val Acc: 0.800000011920929
Epoch 540/1000, Train Loss: 0.49764928221702576, Val Loss: 0.30796128511428833, Train Acc: 0.875, Val Acc: 0.800000011920929
Epoch 550/1000, Train Loss: 0.5256302207708359, Val Loss: 0.3076133728027344, Train Acc: 0.825, Val Acc: 0.800000011920929
Epoch 560/1000, Train Loss: 0.4374293349683285, Val Loss: 0.30681121349334717, Train Acc: 0.8625, Val Acc: 0.800000011920929
Epoch 570/1000, Train Loss: 0.6706661134958267, Val Loss: 0.3064633309841156, Train Acc: 0.7625, Val Acc: 0.800000011920929
Epoch 580/1000, Train Loss: 0.6043208092451096, Val Loss: 0.3072683811187744, Train Acc: 0.8125, Val Acc: 0.800000011920929
Epoch 590/1000, Train Loss: 0.535046324133873, Val Loss: 0.3075355887413025, Train Acc: 0.825, Val Acc: 0.800000011920929
Epoch 600/1000, Train Loss: 0.7250407338142395, Val Loss: 0.3076415956020355, Train Acc: 0.8, Val Acc: 0.800000011920929
Epoch 610/1000, Train Loss: 0.3809688910841942, Val Loss: 0.3070385754108429, Train Acc: 0.9, Val Acc: 0.800000011920929
Epoch 620/1000, Train Loss: 0.45920930802822113, Val Loss: 0.3066081404685974, Train Acc: 0.85, Val Acc: 0.800000011920929
Epoch 630/1000, Train Loss: 0.5910266786813736, Val Loss: 0.3069036602973938, Train Acc: 0.85, Val Acc: 0.800000011920929
Epoch 640/1000, Train Loss: 0.7647419273853302, Val Loss: 0.3065268099308014, Train Acc: 0.7125, Val Acc: 0.800000011920929
Epoch 650/1000, Train Loss: 0.5281310528516769, Val Loss: 0.3065280616283417, Train Acc: 0.775, Val Acc: 0.800000011920929
Epoch 660/1000, Train Loss: 0.6395466327667236, Val Loss: 0.3064749538898468, Train Acc: 0.8125, Val Acc: 0.800000011920929
Epoch 670/1000, Train Loss: 0.586062915623188, Val Loss: 0.30688363313674927, Train Acc: 0.8875, Val Acc: 0.800000011920929
Epoch 680/1000, Train Loss: 0.8008735179901123, Val Loss: 0.3062872588634491, Train Acc: 0.7875, Val Acc: 0.800000011920929
Epoch 690/1000, Train Loss: 0.5684696435928345, Val Loss: 0.30587145686149597, Train Acc: 0.7875, Val Acc: 0.800000011920929
Epoch 700/1000, Train Loss: 0.6914625316858292, Val Loss: 0.3061978816986084, Train Acc: 0.7875, Val Acc: 0.800000011920929
Epoch 710/1000, Train Loss: 0.515484943985939, Val Loss: 0.3063746988773346, Train Acc: 0.8375, Val Acc: 0.800000011920929
Epoch 720/1000, Train Loss: 0.48310256004333496, Val Loss: 0.30619287490844727, Train Acc: 0.8625, Val Acc: 0.800000011920929
Epoch 730/1000, Train Loss: 0.4459450878202915, Val Loss: 0.3061787486076355, Train Acc: 0.8875, Val Acc: 0.800000011920929
Epoch 740/1000, Train Loss: 0.4285991042852402, Val Loss: 0.3066200911998749, Train Acc: 0.8625, Val Acc: 0.800000011920929
Epoch 750/1000, Train Loss: 0.4877784699201584, Val Loss: 0.3065546452999115, Train Acc: 0.8625, Val Acc: 0.800000011920929
Epoch 760/1000, Train Loss: 0.5995074212551117, Val Loss: 0.3063533902168274, Train Acc: 0.825, Val Acc: 0.800000011920929
Epoch 770/1000, Train Loss: 0.4229278191924095, Val Loss: 0.30581268668174744, Train Acc: 0.85, Val Acc: 0.800000011920929
Epoch 780/1000, Train Loss: 0.6155554354190826, Val Loss: 0.30505573749542236, Train Acc: 0.7875, Val Acc: 0.800000011920929
Epoch 790/1000, Train Loss: 0.5971540287137032, Val Loss: 0.30548256635665894, Train Acc: 0.85, Val Acc: 0.800000011920929
Epoch 800/1000, Train Loss: 0.6770895197987556, Val Loss: 0.305924654006958, Train Acc: 0.8625, Val Acc: 0.800000011920929
Epoch 810/1000, Train Loss: 0.6418430805206299, Val Loss: 0.30562925338745117, Train Acc: 0.8375, Val Acc: 0.800000011920929
Epoch 820/1000, Train Loss: 0.5967742204666138, Val Loss: 0.3061639666557312, Train Acc: 0.775, Val Acc: 0.800000011920929
Epoch 830/1000, Train Loss: 0.7124068140983582, Val Loss: 0.3055904507637024, Train Acc: 0.7875, Val Acc: 0.800000011920929
Epoch 840/1000, Train Loss: 0.5158633440732956, Val Loss: 0.30479297041893005, Train Acc: 0.8, Val Acc: 0.800000011920929
Epoch 850/1000, Train Loss: 0.7633161544799805, Val Loss: 0.3044370114803314, Train Acc: 0.775, Val Acc: 0.800000011920929
Epoch 860/1000, Train Loss: 0.6338298916816711, Val Loss: 0.3043168783187866, Train Acc: 0.8125, Val Acc: 0.800000011920929
Epoch 870/1000, Train Loss: 0.5377053320407867, Val Loss: 0.3039114773273468, Train Acc: 0.8125, Val Acc: 0.800000011920929
Epoch 880/1000, Train Loss: 0.576652467250824, Val Loss: 0.30364280939102173, Train Acc: 0.8, Val Acc: 0.800000011920929
Epoch 890/1000, Train Loss: 0.7062039822340012, Val Loss: 0.3040856122970581, Train Acc: 0.75, Val Acc: 0.800000011920929
Epoch 900/1000, Train Loss: 0.4385651797056198, Val Loss: 0.30430299043655396, Train Acc: 0.8625, Val Acc: 0.800000011920929
Epoch 910/1000, Train Loss: 0.5755536258220673, Val Loss: 0.3042469024658203, Train Acc: 0.8625, Val Acc: 0.800000011920929
Epoch 920/1000, Train Loss: 0.6650989800691605, Val Loss: 0.3037361800670624, Train Acc: 0.8375, Val Acc: 0.800000011920929
Epoch 930/1000, Train Loss: 0.6364225894212723, Val Loss: 0.3030042052268982, Train Acc: 0.7875, Val Acc: 0.800000011920929
Epoch 940/1000, Train Loss: 0.4206158071756363, Val Loss: 0.3025222718715668, Train Acc: 0.8875, Val Acc: 0.800000011920929
Epoch 950/1000, Train Loss: 0.5214827880263329, Val Loss: 0.302035391330719, Train Acc: 0.85, Val Acc: 0.800000011920929
Epoch 960/1000, Train Loss: 0.5637132972478867, Val Loss: 0.3015621304512024, Train Acc: 0.8375, Val Acc: 0.800000011920929
Epoch 970/1000, Train Loss: 0.4423519894480705, Val Loss: 0.30171138048171997, Train Acc: 0.825, Val Acc: 0.800000011920929
Epoch 980/1000, Train Loss: 0.4461720734834671, Val Loss: 0.30271169543266296, Train Acc: 0.85, Val Acc: 0.800000011920929
Epoch 990/1000, Train Loss: 0.5562849938869476, Val Loss: 0.3024508059024811, Train Acc: 0.8375, Val Acc: 0.800000011920929
Best trial: 0
Value: 0.02469121851027012
Params: {'hidden_size': 263, 'learning_rate': 9.58514908725068e-05, 'weight_decay': 0.0008767373017054058}
[32m[I 2024-06-04 17:21:09,258][39m Trial 0 finished with value: 0.02469121851027012 and parameters: {'hidden_size': 263, 'learning_rate': 9.58514908725068e-05, 'weight_decay': 0.0008767373017054058}. Best is trial 0 with value: 0.02469121851027012.
