
Epoch 0/1000, Train Loss: 0.5032150518894195, Val Loss: 0.38826414942741394, Train Acc: 0.71125, Val Acc: 0.8299999833106995, LR: 0.00044240610596933276
Epoch 10/1000, Train Loss: 0.2870235902070999, Val Loss: 0.2800196707248688, Train Acc: 0.845, Val Acc: 0.8700000047683716, LR: 0.0003301318058130541
Epoch 20/1000, Train Loss: 0.2432349669933319, Val Loss: 0.25721797347068787, Train Acc: 0.875, Val Acc: 0.8849999904632568, LR: 0.0002178575056567753
Epoch 30/1000, Train Loss: 0.21731428265571595, Val Loss: 0.2336302399635315, Train Acc: 0.8825, Val Acc: 0.8899999856948853, LR: 0.00010558320550049868
Epoch 40/1000, Train Loss: 0.20337283700704575, Val Loss: 0.23441782593727112, Train Acc: 0.89125, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 50/1000, Train Loss: 0.22584687739610673, Val Loss: 0.2304108440876007, Train Acc: 0.8825, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 60/1000, Train Loss: 0.2288625395298004, Val Loss: 0.22945675253868103, Train Acc: 0.885, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 70/1000, Train Loss: 0.239740269780159, Val Loss: 0.22803062200546265, Train Acc: 0.85875, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 80/1000, Train Loss: 0.22120440185070037, Val Loss: 0.22939158976078033, Train Acc: 0.87875, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 90/1000, Train Loss: 0.21231838524341584, Val Loss: 0.22850963473320007, Train Acc: 0.89125, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 100/1000, Train Loss: 0.21344025999307634, Val Loss: 0.22784914076328278, Train Acc: 0.8975, Val Acc: 0.8899999856948853, LR: 4.536335359849569e-06
Epoch 110/1000, Train Loss: 0.22459545344114304, Val Loss: 0.227748304605484, Train Acc: 0.87625, Val Acc: 0.8899999856948853, LR: 4.536335359849569e-06
Epoch 120/1000, Train Loss: 0.21762476742267609, Val Loss: 0.22702272236347198, Train Acc: 0.87875, Val Acc: 0.8899999856948853, LR: 4.536335359849569e-06
Epoch 130/1000, Train Loss: 0.2180938172340393, Val Loss: 0.2265828251838684, Train Acc: 0.87875, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 140/1000, Train Loss: 0.20570900171995163, Val Loss: 0.2260359227657318, Train Acc: 0.8825, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 150/1000, Train Loss: 0.2153320249915123, Val Loss: 0.22598408162593842, Train Acc: 0.8925, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 160/1000, Train Loss: 0.221835618019104, Val Loss: 0.22576427459716797, Train Acc: 0.88625, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 170/1000, Train Loss: 0.211806717813015, Val Loss: 0.22560104727745056, Train Acc: 0.8875, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 180/1000, Train Loss: 0.22355693578720093, Val Loss: 0.22524377703666687, Train Acc: 0.88125, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 190/1000, Train Loss: 0.21168859153985978, Val Loss: 0.22437043488025665, Train Acc: 0.90125, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 200/1000, Train Loss: 0.21719813585281372, Val Loss: 0.2246658354997635, Train Acc: 0.89625, Val Acc: 0.8899999856948853, LR: 4.536335359849569e-06
Epoch 210/1000, Train Loss: 0.21314812928438187, Val Loss: 0.22489771246910095, Train Acc: 0.9, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 220/1000, Train Loss: 0.21107147634029388, Val Loss: 0.2239743024110794, Train Acc: 0.89625, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 230/1000, Train Loss: 0.21121159374713896, Val Loss: 0.22401709854602814, Train Acc: 0.89125, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 240/1000, Train Loss: 0.201320161819458, Val Loss: 0.22346310317516327, Train Acc: 0.90375, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 250/1000, Train Loss: 0.21294418156147002, Val Loss: 0.2234073281288147, Train Acc: 0.8975, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 260/1000, Train Loss: 0.2099388363957405, Val Loss: 0.2228691130876541, Train Acc: 0.89125, Val Acc: 0.8899999856948853, LR: 4.536335359849569e-06
Epoch 270/1000, Train Loss: 0.20224181443452835, Val Loss: 0.22336244583129883, Train Acc: 0.89625, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 280/1000, Train Loss: 0.21798527359962463, Val Loss: 0.2233060598373413, Train Acc: 0.87875, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 290/1000, Train Loss: 0.22069849491119384, Val Loss: 0.2223585844039917, Train Acc: 0.8825, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 300/1000, Train Loss: 0.21254176944494246, Val Loss: 0.222330704331398, Train Acc: 0.88625, Val Acc: 0.8999999761581421, LR: 4.536335359849569e-06
Epoch 310/1000, Train Loss: 0.22188040852546692, Val Loss: 0.22220313549041748, Train Acc: 0.87875, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 320/1000, Train Loss: 0.21926313519477844, Val Loss: 0.22131489217281342, Train Acc: 0.8925, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 330/1000, Train Loss: 0.22051261097192765, Val Loss: 0.22142356634140015, Train Acc: 0.88375, Val Acc: 0.8999999761581421, LR: 4.536335359849569e-06
Epoch 340/1000, Train Loss: 0.21214184790849686, Val Loss: 0.2214266061782837, Train Acc: 0.8775, Val Acc: 0.8899999856948853, LR: 4.536335359849569e-06
Epoch 350/1000, Train Loss: 0.21010336816310882, Val Loss: 0.22152739763259888, Train Acc: 0.89, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 360/1000, Train Loss: 0.221122887134552, Val Loss: 0.22122417390346527, Train Acc: 0.88, Val Acc: 0.8999999761581421, LR: 4.536335359849569e-06
Epoch 370/1000, Train Loss: 0.2083705785870552, Val Loss: 0.22053663432598114, Train Acc: 0.90375, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 380/1000, Train Loss: 0.21879562973976135, Val Loss: 0.22110113501548767, Train Acc: 0.8875, Val Acc: 0.8899999856948853, LR: 4.536335359849569e-06
Epoch 390/1000, Train Loss: 0.20931323677301406, Val Loss: 0.22009755671024323, Train Acc: 0.87125, Val Acc: 0.8899999856948853, LR: 4.536335359849569e-06
Epoch 400/1000, Train Loss: 0.2116414088010788, Val Loss: 0.21964901685714722, Train Acc: 0.8875, Val Acc: 0.8899999856948853, LR: 4.536335359849569e-06
Epoch 410/1000, Train Loss: 0.20700377851724625, Val Loss: 0.2196161448955536, Train Acc: 0.89875, Val Acc: 0.8899999856948853, LR: 4.536335359849569e-06
Epoch 420/1000, Train Loss: 0.20548093914985657, Val Loss: 0.21942542493343353, Train Acc: 0.89875, Val Acc: 0.8899999856948853, LR: 4.536335359849569e-06
Epoch 430/1000, Train Loss: 0.20922644957900047, Val Loss: 0.21960614621639252, Train Acc: 0.9, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 440/1000, Train Loss: 0.21650260031223298, Val Loss: 0.2208804488182068, Train Acc: 0.8925, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 450/1000, Train Loss: 0.2119519293308258, Val Loss: 0.22008289396762848, Train Acc: 0.89625, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 460/1000, Train Loss: 0.2039730080962181, Val Loss: 0.2192247211933136, Train Acc: 0.90125, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 470/1000, Train Loss: 0.21299928575754165, Val Loss: 0.21885600686073303, Train Acc: 0.89625, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 480/1000, Train Loss: 0.22309631496667862, Val Loss: 0.2198740839958191, Train Acc: 0.8725, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 490/1000, Train Loss: 0.20153889656066895, Val Loss: 0.21872808039188385, Train Acc: 0.90125, Val Acc: 0.8999999761581421, LR: 4.536335359849569e-06
Epoch 500/1000, Train Loss: 0.21048557087779046, Val Loss: 0.21948271989822388, Train Acc: 0.895, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 510/1000, Train Loss: 0.20541923344135285, Val Loss: 0.21900011599063873, Train Acc: 0.89625, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 520/1000, Train Loss: 0.21755229890346528, Val Loss: 0.2195483148097992, Train Acc: 0.885, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 530/1000, Train Loss: 0.21556521862745284, Val Loss: 0.21797330677509308, Train Acc: 0.8775, Val Acc: 0.8899999856948853, LR: 4.536335359849569e-06
Epoch 540/1000, Train Loss: 0.20217216461896897, Val Loss: 0.21810825169086456, Train Acc: 0.9, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 550/1000, Train Loss: 0.21156915456056594, Val Loss: 0.21791782975196838, Train Acc: 0.88875, Val Acc: 0.8899999856948853, LR: 4.536335359849569e-06
Epoch 560/1000, Train Loss: 0.213996302485466, Val Loss: 0.21830306947231293, Train Acc: 0.885, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 570/1000, Train Loss: 0.20162039875984192, Val Loss: 0.2171611189842224, Train Acc: 0.89875, Val Acc: 0.8949999809265137, LR: 4.536335359849569e-06
Epoch 580/1000, Train Loss: 0.20527060210704803, Val Loss: 0.216981902718544, Train Acc: 0.8925, Val Acc: 0.8999999761581421, LR: 4.536335359849569e-06
